annual_inc,open_acc,purpose,home_ownership,inq_last_6mths
62000,6,debt_consolidation,RENT,1
48000,7,small_business,MORTGAGE,1
60000,8,debt_consolidation,OWN,0
1e+05,8,debt_consolidation,MORTGAGE,1
136000,8,debt_consolidation,MORTGAGE,0
37400,8,home_improvement,MORTGAGE,1
95138,15,vacation,MORTGAGE,1
50000,7,debt_consolidation,RENT,0
63600,7,debt_consolidation,MORTGAGE,1
115000,14,debt_consolidation,MORTGAGE,2
80000,14,debt_consolidation,MORTGAGE,1
85184,12,credit_card,MORTGAGE,0
78996,7,credit_card,RENT,0
36000,8,other,RENT,1
41000,5,debt_consolidation,RENT,2
55500,10,credit_card,RENT,0
56000,7,credit_card,OWN,1
58000,12,debt_consolidation,MORTGAGE,2
48000,6,debt_consolidation,MORTGAGE,1
36000,13,debt_consolidation,RENT,1
36000,15,other,RENT,0
39500,14,credit_card,MORTGAGE,0
71000,12,debt_consolidation,MORTGAGE,0
52000,12,debt_consolidation,MORTGAGE,1
109000,10,debt_consolidation,RENT,0
125500,11,debt_consolidation,MORTGAGE,0
115000,15,debt_consolidation,OWN,1
65000,9,debt_consolidation,MORTGAGE,2
47456.24,11,credit_card,MORTGAGE,0
95000,10,debt_consolidation,MORTGAGE,0
108000,10,debt_consolidation,MORTGAGE,0
3e+05,8,debt_consolidation,RENT,0
36672.11,6,debt_consolidation,RENT,0
150000,12,debt_consolidation,MORTGAGE,0
28800,3,car,RENT,1
234000,6,credit_card,MORTGAGE,0
120000,7,debt_consolidation,MORTGAGE,0
35000,7,debt_consolidation,MORTGAGE,0
83000,12,credit_card,RENT,0
55000,7,debt_consolidation,RENT,0
65000,6,credit_card,RENT,0
275000,21,other,MORTGAGE,2
58000,6,credit_card,RENT,1
20000,12,credit_card,RENT,1
48675,14,debt_consolidation,MORTGAGE,0
60000,11,house,OWN,0
79000,9,debt_consolidation,MORTGAGE,0
40000,11,credit_card,RENT,0
40000,10,debt_consolidation,MORTGAGE,0
70000,13,debt_consolidation,MORTGAGE,0
120000,12,home_improvement,MORTGAGE,0
68000,11,home_improvement,MORTGAGE,2
95000,6,debt_consolidation,RENT,0
52000,10,medical,MORTGAGE,1
110000,15,credit_card,MORTGAGE,2
31791,9,debt_consolidation,MORTGAGE,0
85000,7,home_improvement,MORTGAGE,1
36000,7,debt_consolidation,RENT,0
44000,9,debt_consolidation,RENT,0
48000,7,debt_consolidation,MORTGAGE,0
84600,11,debt_consolidation,RENT,0
150000,16,credit_card,RENT,0
90000,15,home_improvement,MORTGAGE,0
120000,19,medical,MORTGAGE,0
59000,4,credit_card,RENT,0
45000,23,debt_consolidation,MORTGAGE,0
45000,9,debt_consolidation,MORTGAGE,0
39000,5,credit_card,RENT,0
43000,14,credit_card,MORTGAGE,1
50000,7,debt_consolidation,MORTGAGE,0
61200,16,debt_consolidation,RENT,1
45000,8,home_improvement,MORTGAGE,0
37000,9,other,RENT,0
81000,13,debt_consolidation,MORTGAGE,2
35000,11,debt_consolidation,RENT,0
75000,9,debt_consolidation,OWN,0
25000,8,credit_card,MORTGAGE,2
1e+05,13,debt_consolidation,MORTGAGE,0
83000,16,credit_card,MORTGAGE,3
60000,13,debt_consolidation,MORTGAGE,0
79445,22,debt_consolidation,OWN,0
56000,18,debt_consolidation,MORTGAGE,0
85000,7,credit_card,RENT,1
25000,12,credit_card,OWN,2
102000,19,debt_consolidation,MORTGAGE,0
88800,8,debt_consolidation,MORTGAGE,0
55000,23,debt_consolidation,OWN,4
44000,25,debt_consolidation,MORTGAGE,0
85000,20,debt_consolidation,MORTGAGE,0
47200,10,debt_consolidation,RENT,1
42000,10,home_improvement,MORTGAGE,2
1e+05,21,moving,RENT,0
45000,10,debt_consolidation,RENT,1
128000,8,debt_consolidation,MORTGAGE,0
135000,18,home_improvement,MORTGAGE,2
28000,13,debt_consolidation,MORTGAGE,1
47000,6,car,MORTGAGE,0
72000,18,debt_consolidation,MORTGAGE,5
79000,11,credit_card,MORTGAGE,1
33000,10,credit_card,OWN,0
40000,9,home_improvement,MORTGAGE,0
80000,10,credit_card,MORTGAGE,0
98000,11,debt_consolidation,OWN,0
180000,8,credit_card,MORTGAGE,0
70000,11,small_business,MORTGAGE,0
30000,35,debt_consolidation,RENT,4
30000,12,credit_card,OWN,1
36301.62,13,credit_card,OWN,0
80000,9,debt_consolidation,MORTGAGE,0
70000,8,other,MORTGAGE,1
60000,6,credit_card,MORTGAGE,1
110000,13,debt_consolidation,MORTGAGE,2
1e+05,8,credit_card,RENT,4
30000,4,home_improvement,OWN,0
113000,12,home_improvement,RENT,0
45000,7,debt_consolidation,RENT,0
50000,13,debt_consolidation,RENT,0
60000,3,debt_consolidation,RENT,0
25000,10,credit_card,RENT,0
80000,12,small_business,MORTGAGE,1
75000,5,credit_card,MORTGAGE,0
43500,18,credit_card,MORTGAGE,1
90000,28,debt_consolidation,RENT,1
90000,6,debt_consolidation,MORTGAGE,0
71000,16,debt_consolidation,MORTGAGE,1
85000,23,home_improvement,MORTGAGE,0
130000,8,credit_card,MORTGAGE,0
142500,14,debt_consolidation,MORTGAGE,2
60000,12,debt_consolidation,MORTGAGE,0
75000,15,credit_card,RENT,0
93000,7,debt_consolidation,MORTGAGE,0
125000,11,credit_card,MORTGAGE,0
85110,9,debt_consolidation,MORTGAGE,0
72000,11,debt_consolidation,RENT,1
78000,11,credit_card,RENT,2
30000,9,credit_card,RENT,3
205027,6,debt_consolidation,RENT,0
59000,7,debt_consolidation,RENT,0
55000,10,debt_consolidation,RENT,1
125000,14,debt_consolidation,MORTGAGE,0
112000,8,debt_consolidation,MORTGAGE,0
33000,10,credit_card,OWN,0
112000,12,home_improvement,MORTGAGE,0
54788,13,debt_consolidation,RENT,1
68000,8,debt_consolidation,MORTGAGE,2
38000,7,debt_consolidation,RENT,0
82000,6,credit_card,MORTGAGE,0
45052.8,12,debt_consolidation,MORTGAGE,0
42000,7,credit_card,MORTGAGE,0
185000,12,other,MORTGAGE,0
47000,15,credit_card,OWN,0
35000,9,credit_card,MORTGAGE,1
55000,8,credit_card,RENT,1
60000,7,car,MORTGAGE,2
55000,8,debt_consolidation,RENT,1
33000,11,credit_card,RENT,0
50000,17,debt_consolidation,MORTGAGE,0
43675,14,debt_consolidation,MORTGAGE,0
150000,17,debt_consolidation,MORTGAGE,0
47684,11,other,RENT,0
24000,11,credit_card,MORTGAGE,1
32830,5,debt_consolidation,RENT,0
55000,28,other,RENT,3
81500,8,debt_consolidation,MORTGAGE,1
66000,24,debt_consolidation,MORTGAGE,0
58000,12,credit_card,RENT,1
148000,17,debt_consolidation,RENT,0
24000,35,debt_consolidation,RENT,0
98736,9,car,OWN,0
32500,7,debt_consolidation,OWN,0
88000,15,home_improvement,OWN,1
46200,16,debt_consolidation,OWN,0
175000,13,credit_card,MORTGAGE,0
65000,12,debt_consolidation,MORTGAGE,0
30000,5,other,MORTGAGE,2
120000,8,debt_consolidation,MORTGAGE,0
53000,8,credit_card,RENT,2
36000,10,small_business,RENT,1
54000,14,debt_consolidation,OWN,0
31200,24,debt_consolidation,RENT,1
33000,6,debt_consolidation,MORTGAGE,1
90000,4,credit_card,RENT,0
95000,21,home_improvement,MORTGAGE,1
95000,8,debt_consolidation,MORTGAGE,0
53000,20,debt_consolidation,RENT,1
1e+05,15,debt_consolidation,MORTGAGE,1
65000,13,credit_card,MORTGAGE,0
92000,7,debt_consolidation,MORTGAGE,2
111000,8,debt_consolidation,RENT,0
54325,14,debt_consolidation,RENT,2
85000,13,debt_consolidation,MORTGAGE,2
57000,12,credit_card,RENT,1
45000,12,debt_consolidation,RENT,1
21500,3,debt_consolidation,MORTGAGE,1
105000,7,credit_card,RENT,3
35100,12,credit_card,RENT,0
27000,9,credit_card,OWN,0
71500,5,credit_card,MORTGAGE,0
140000,11,debt_consolidation,RENT,1
73000,3,small_business,MORTGAGE,1
24000,5,debt_consolidation,RENT,0
28000,8,credit_card,RENT,0
49000,14,debt_consolidation,RENT,0
26000,8,debt_consolidation,RENT,0
67000,9,credit_card,MORTGAGE,1
79000,11,debt_consolidation,RENT,0
55000,6,credit_card,MORTGAGE,0
130000,3,debt_consolidation,RENT,0
45000,11,debt_consolidation,RENT,1
48900,15,debt_consolidation,MORTGAGE,1
88824,8,other,MORTGAGE,0
88000,17,debt_consolidation,MORTGAGE,1
80000,12,debt_consolidation,MORTGAGE,1
64066.4,6,credit_card,RENT,0
70000,5,debt_consolidation,MORTGAGE,0
88000,32,credit_card,MORTGAGE,1
85000,11,debt_consolidation,MORTGAGE,0
156000,17,home_improvement,MORTGAGE,0
56000,10,debt_consolidation,RENT,0
70000,9,debt_consolidation,RENT,0
65000,15,debt_consolidation,RENT,0
35000,9,debt_consolidation,MORTGAGE,1
74000,14,debt_consolidation,MORTGAGE,1
120000,9,credit_card,MORTGAGE,0
50000,7,credit_card,RENT,2
37000,4,debt_consolidation,RENT,0
48000,3,debt_consolidation,MORTGAGE,0
34000,15,other,MORTGAGE,0
71000,21,debt_consolidation,RENT,2
93000,18,debt_consolidation,MORTGAGE,0
45720,12,debt_consolidation,RENT,0
75000,9,debt_consolidation,MORTGAGE,0
76000,8,credit_card,RENT,2
110000,14,debt_consolidation,MORTGAGE,2
39600,6,debt_consolidation,RENT,3
83000,7,debt_consolidation,RENT,0
50000,24,debt_consolidation,RENT,0
30000,20,debt_consolidation,MORTGAGE,1
60000,7,credit_card,RENT,1
57200,9,debt_consolidation,MORTGAGE,0
16800,3,debt_consolidation,OWN,0
72000,9,debt_consolidation,RENT,0
65000,14,debt_consolidation,RENT,1
160000,14,debt_consolidation,MORTGAGE,0
72000,10,debt_consolidation,RENT,0
26500,15,credit_card,OWN,0
44500,5,debt_consolidation,MORTGAGE,0
118000,17,credit_card,MORTGAGE,1
52000,7,credit_card,RENT,0
116000,17,debt_consolidation,RENT,1
45000,24,major_purchase,RENT,1
90000,11,debt_consolidation,MORTGAGE,0
41000,3,credit_card,RENT,0
58000,15,credit_card,RENT,1
38536,16,small_business,RENT,0
34000,6,debt_consolidation,MORTGAGE,2
150000,7,home_improvement,MORTGAGE,0
49000,25,debt_consolidation,NONE,0
40000,18,credit_card,OWN,0
280000,4,other,RENT,0
86000,8,debt_consolidation,RENT,0
39987,17,debt_consolidation,MORTGAGE,0
60000,22,home_improvement,MORTGAGE,0
68000,9,debt_consolidation,RENT,1
43800,14,debt_consolidation,RENT,0
175000,13,credit_card,MORTGAGE,0
106000,11,debt_consolidation,RENT,1
120000,11,credit_card,RENT,0
40000,5,other,MORTGAGE,1
45000,29,debt_consolidation,MORTGAGE,0
1e+05,10,debt_consolidation,MORTGAGE,0
77232,8,debt_consolidation,MORTGAGE,0
25000,14,debt_consolidation,MORTGAGE,0
74000,12,debt_consolidation,MORTGAGE,0
36500,10,debt_consolidation,RENT,1
54184,8,credit_card,MORTGAGE,0
75000,13,debt_consolidation,OWN,2
94000,12,credit_card,RENT,0
48000,11,other,RENT,1
95000,14,debt_consolidation,OWN,1
38000,9,debt_consolidation,MORTGAGE,0
141000,11,debt_consolidation,MORTGAGE,1
52000,22,debt_consolidation,RENT,1
85000,10,medical,MORTGAGE,0
52416,8,other,RENT,2
45000,12,credit_card,MORTGAGE,0
50000,7,credit_card,RENT,1
44000,9,credit_card,RENT,0
46000,12,credit_card,RENT,0
75000,22,debt_consolidation,MORTGAGE,0
112000,16,debt_consolidation,MORTGAGE,3
69400,18,debt_consolidation,RENT,0
45000,5,debt_consolidation,RENT,0
47000,6,home_improvement,OWN,2
55000,15,moving,RENT,0
32000,9,debt_consolidation,RENT,0
82000,16,debt_consolidation,MORTGAGE,0
93000,5,vacation,RENT,0
85000,15,debt_consolidation,RENT,2
90000,25,debt_consolidation,MORTGAGE,0
1e+05,13,debt_consolidation,MORTGAGE,1
70719,5,debt_consolidation,MORTGAGE,0
55000,20,debt_consolidation,RENT,1
60000,10,credit_card,OWN,0
1e+05,22,small_business,MORTGAGE,1
70000,13,debt_consolidation,RENT,1
65000,15,debt_consolidation,RENT,1
110000,24,debt_consolidation,MORTGAGE,0
182596,15,debt_consolidation,OWN,0
46284,15,debt_consolidation,RENT,0
150000,14,debt_consolidation,MORTGAGE,2
85000,9,debt_consolidation,MORTGAGE,0
98000,7,home_improvement,MORTGAGE,2
41000,9,debt_consolidation,RENT,0
60000,7,credit_card,RENT,0
80000,13,debt_consolidation,MORTGAGE,0
169000,8,house,RENT,0
36000,9,debt_consolidation,MORTGAGE,3
172000,11,debt_consolidation,RENT,0
1e+05,15,credit_card,MORTGAGE,0
55000,11,debt_consolidation,MORTGAGE,0
85000,18,debt_consolidation,MORTGAGE,1
55000,14,credit_card,MORTGAGE,2
32100,13,debt_consolidation,OWN,0
109000,12,debt_consolidation,RENT,0
85000,19,home_improvement,MORTGAGE,1
48508,18,debt_consolidation,MORTGAGE,0
65000,7,debt_consolidation,MORTGAGE,0
104000,9,debt_consolidation,RENT,0
93862.2,10,debt_consolidation,RENT,1
51000,8,debt_consolidation,RENT,0
59000,16,credit_card,OWN,2
45000,10,debt_consolidation,RENT,1
3e+05,5,other,MORTGAGE,2
220000,13,debt_consolidation,OWN,1
39000,11,debt_consolidation,RENT,0
65000,21,debt_consolidation,RENT,1
60000,8,debt_consolidation,RENT,1
61000,17,debt_consolidation,RENT,1
34000,11,debt_consolidation,RENT,0
55000,16,credit_card,RENT,0
32000,10,credit_card,RENT,1
105000,18,debt_consolidation,RENT,2
160000,13,debt_consolidation,MORTGAGE,0
55650,8,debt_consolidation,MORTGAGE,2
84996,7,home_improvement,MORTGAGE,2
70000,9,debt_consolidation,RENT,1
62000,11,debt_consolidation,MORTGAGE,1
294000,8,credit_card,RENT,0
89111,11,home_improvement,OWN,0
107000,18,debt_consolidation,MORTGAGE,0
50400,6,credit_card,RENT,0
36000,6,moving,MORTGAGE,1
46000,8,other,MORTGAGE,2
79999,9,credit_card,RENT,0
35000,9,debt_consolidation,RENT,1
151000,14,credit_card,MORTGAGE,1
110000,10,debt_consolidation,RENT,2
23200,12,debt_consolidation,OWN,1
178000,9,debt_consolidation,MORTGAGE,0
38000,14,home_improvement,RENT,0
120000,5,other,OWN,0
40000,6,debt_consolidation,RENT,0
37800,8,debt_consolidation,MORTGAGE,0
102000,9,debt_consolidation,MORTGAGE,2
71632,13,credit_card,MORTGAGE,0
75000,11,debt_consolidation,MORTGAGE,2
90000,7,debt_consolidation,MORTGAGE,1
43000,8,debt_consolidation,RENT,0
50000,15,credit_card,MORTGAGE,0
58000,10,debt_consolidation,RENT,0
37036.92,10,debt_consolidation,MORTGAGE,0
62000,9,credit_card,MORTGAGE,0
82000,13,debt_consolidation,MORTGAGE,3
55000,11,debt_consolidation,RENT,0
1e+05,13,credit_card,OWN,0
42000,7,debt_consolidation,RENT,1
115000,12,debt_consolidation,RENT,0
52000,11,debt_consolidation,RENT,0
77000,11,debt_consolidation,MORTGAGE,0
35464,9,debt_consolidation,RENT,2
72000,17,debt_consolidation,RENT,1
85000,6,other,MORTGAGE,2
43500,9,debt_consolidation,RENT,2
45000,6,credit_card,MORTGAGE,1
50000,11,credit_card,RENT,1
38000,11,debt_consolidation,RENT,0
58000,19,debt_consolidation,MORTGAGE,0
36000,4,debt_consolidation,RENT,3
128000,17,debt_consolidation,MORTGAGE,0
225000,14,debt_consolidation,MORTGAGE,1
185000,12,home_improvement,OWN,1
75000,21,debt_consolidation,RENT,1
26000,6,credit_card,RENT,0
17649,10,other,RENT,0
125000,5,home_improvement,MORTGAGE,0
45500,17,credit_card,OWN,3
80000,14,debt_consolidation,MORTGAGE,2
27000,6,credit_card,RENT,0
2e+05,10,debt_consolidation,RENT,0
75000,3,home_improvement,MORTGAGE,0
45000,12,debt_consolidation,RENT,0
125000,8,debt_consolidation,MORTGAGE,4
94080,10,debt_consolidation,MORTGAGE,0
132500,6,credit_card,RENT,0
70000,10,home_improvement,MORTGAGE,0
38000,7,small_business,OWN,1
55000,12,debt_consolidation,RENT,0
48000,14,debt_consolidation,RENT,1
60000,8,debt_consolidation,MORTGAGE,0
82000,13,debt_consolidation,MORTGAGE,0
33000,11,debt_consolidation,RENT,1
37440,16,debt_consolidation,RENT,0
140000,15,credit_card,MORTGAGE,0
46500,7,debt_consolidation,MORTGAGE,0
17688,9,debt_consolidation,RENT,1
42000,10,debt_consolidation,OWN,1
45000,17,debt_consolidation,RENT,0
65000,7,other,RENT,1
25000,7,debt_consolidation,OWN,0
75000,13,credit_card,MORTGAGE,0
27000,11,debt_consolidation,MORTGAGE,0
75000,10,debt_consolidation,RENT,0
78000,7,debt_consolidation,RENT,1
35004,10,debt_consolidation,OWN,2
78000,9,debt_consolidation,RENT,0
90000,5,home_improvement,MORTGAGE,1
55000,10,debt_consolidation,RENT,0
60000,6,other,MORTGAGE,0
155000,11,other,MORTGAGE,0
25000,4,credit_card,RENT,0
56500,16,credit_card,MORTGAGE,0
97000,9,debt_consolidation,MORTGAGE,1
42000,9,moving,RENT,0
75000,13,debt_consolidation,MORTGAGE,0
18000,4,other,RENT,0
80000,9,debt_consolidation,RENT,0
70000,5,debt_consolidation,RENT,0
65000,8,debt_consolidation,MORTGAGE,0
65000,17,debt_consolidation,RENT,0
75000,8,debt_consolidation,RENT,2
54000,3,debt_consolidation,OWN,1
40000,14,credit_card,OWN,1
25000,8,debt_consolidation,RENT,2
77000,11,debt_consolidation,MORTGAGE,0
51600,9,credit_card,MORTGAGE,1
30000,14,debt_consolidation,RENT,0
111167,14,medical,MORTGAGE,1
39000,9,debt_consolidation,RENT,0
141700,9,debt_consolidation,MORTGAGE,0
116500,17,debt_consolidation,MORTGAGE,0
115000,16,debt_consolidation,RENT,0
121000,21,credit_card,MORTGAGE,0
140000,10,debt_consolidation,MORTGAGE,1
61000,10,credit_card,RENT,1
31000,3,debt_consolidation,RENT,1
58000,7,credit_card,MORTGAGE,0
70000,13,credit_card,RENT,1
63000,4,credit_card,MORTGAGE,1
110000,6,medical,RENT,0
44000,13,credit_card,MORTGAGE,1
52000,10,debt_consolidation,MORTGAGE,0
72000,7,debt_consolidation,RENT,1
150000,4,major_purchase,RENT,0
61000,11,home_improvement,MORTGAGE,3
28000,3,debt_consolidation,MORTGAGE,0
108000,10,credit_card,RENT,0
35000,9,credit_card,RENT,0
80000,12,debt_consolidation,MORTGAGE,0
140000,12,home_improvement,OWN,1
70000,4,debt_consolidation,RENT,3
70730,22,debt_consolidation,MORTGAGE,0
108500,14,car,MORTGAGE,2
85000,12,debt_consolidation,MORTGAGE,0
74320,5,debt_consolidation,OWN,0
50000,15,credit_card,MORTGAGE,1
62000,6,credit_card,RENT,0
36000,7,car,RENT,1
90000,16,debt_consolidation,MORTGAGE,0
80000,14,home_improvement,OWN,1
70000,7,debt_consolidation,OWN,2
110000,13,debt_consolidation,MORTGAGE,0
52000,19,debt_consolidation,MORTGAGE,0
60000,5,debt_consolidation,MORTGAGE,0
60000,11,debt_consolidation,MORTGAGE,0
96772,8,major_purchase,RENT,2
82000,13,credit_card,MORTGAGE,0
45000,5,debt_consolidation,RENT,0
145000,19,debt_consolidation,MORTGAGE,0
138000,12,debt_consolidation,MORTGAGE,1
65000,12,credit_card,RENT,0
140000,12,credit_card,RENT,1
46000,25,debt_consolidation,RENT,1
120000,8,other,RENT,0
50000,10,debt_consolidation,MORTGAGE,0
74000,9,debt_consolidation,RENT,1
65000,21,debt_consolidation,MORTGAGE,0
33000,8,debt_consolidation,RENT,0
130000,15,credit_card,MORTGAGE,1
55000,6,debt_consolidation,RENT,0
50000,9,other,RENT,0
17000,12,home_improvement,OWN,0
60000,12,debt_consolidation,RENT,0
75800,5,credit_card,RENT,0
48000,4,credit_card,RENT,0
80000,10,home_improvement,MORTGAGE,5
133000,12,credit_card,RENT,2
152000,20,debt_consolidation,MORTGAGE,2
95000,8,debt_consolidation,RENT,0
90000,3,other,RENT,3
75000,15,debt_consolidation,MORTGAGE,0
65000,7,debt_consolidation,MORTGAGE,1
39850,7,debt_consolidation,RENT,2
140000,8,debt_consolidation,MORTGAGE,2
170000,13,debt_consolidation,MORTGAGE,0
32000,6,credit_card,RENT,0
130000,15,credit_card,MORTGAGE,0
63607,8,debt_consolidation,RENT,1
34600,13,credit_card,MORTGAGE,1
50000,8,debt_consolidation,MORTGAGE,0
29500,4,debt_consolidation,RENT,0
110000,16,debt_consolidation,MORTGAGE,0
70000,18,credit_card,RENT,0
35500,5,medical,RENT,0
62500,10,debt_consolidation,RENT,0
80000,6,debt_consolidation,MORTGAGE,1
150000,8,debt_consolidation,MORTGAGE,0
155000,21,home_improvement,MORTGAGE,1
190000,17,credit_card,MORTGAGE,0
48000,5,debt_consolidation,OWN,0
99000,19,debt_consolidation,MORTGAGE,0
36400,12,debt_consolidation,RENT,0
90000,8,home_improvement,MORTGAGE,1
84000,26,credit_card,MORTGAGE,1
78000,7,credit_card,MORTGAGE,0
80000,21,debt_consolidation,RENT,1
86593,11,debt_consolidation,MORTGAGE,0
48000,8,debt_consolidation,MORTGAGE,0
85000,8,car,MORTGAGE,2
42000,8,moving,RENT,0
160000,17,credit_card,MORTGAGE,1
36000,14,debt_consolidation,OWN,0
75000,26,medical,MORTGAGE,1
75000,16,credit_card,RENT,0
73000,8,wedding,RENT,0
55000,20,debt_consolidation,RENT,2
2e+05,14,credit_card,RENT,1
34000,14,credit_card,RENT,1
50000,12,debt_consolidation,MORTGAGE,1
48000,11,debt_consolidation,MORTGAGE,1
40000,9,debt_consolidation,RENT,1
68000,23,other,MORTGAGE,0
193000,9,debt_consolidation,MORTGAGE,0
90000,12,debt_consolidation,RENT,0
87000,8,debt_consolidation,MORTGAGE,0
135000,11,debt_consolidation,RENT,0
78411,10,medical,RENT,0
70000,5,debt_consolidation,MORTGAGE,0
80000,14,debt_consolidation,OWN,1
57000,8,credit_card,OWN,0
55000,8,credit_card,RENT,0
35000,9,debt_consolidation,MORTGAGE,3
79000,19,credit_card,MORTGAGE,1
30000,9,debt_consolidation,MORTGAGE,0
75000,12,debt_consolidation,MORTGAGE,0
48000,9,credit_card,RENT,0
62000,13,debt_consolidation,MORTGAGE,2
52000,8,debt_consolidation,RENT,0
45690,10,debt_consolidation,RENT,0
78000,9,medical,MORTGAGE,4
25000,15,debt_consolidation,RENT,1
120000,16,debt_consolidation,MORTGAGE,0
1e+05,12,credit_card,MORTGAGE,0
23000,3,small_business,MORTGAGE,0
102800,11,debt_consolidation,MORTGAGE,0
33000,12,vacation,RENT,0
140000,21,debt_consolidation,MORTGAGE,0
25000,6,credit_card,RENT,3
75000,5,debt_consolidation,MORTGAGE,0
102000,12,credit_card,MORTGAGE,3
127000,10,credit_card,MORTGAGE,0
75000,8,credit_card,MORTGAGE,0
45000,7,debt_consolidation,RENT,1
57500,11,debt_consolidation,MORTGAGE,0
24345,9,debt_consolidation,OWN,0
75000,12,small_business,MORTGAGE,0
1e+05,11,debt_consolidation,MORTGAGE,0
52191,10,debt_consolidation,RENT,3
30000,17,debt_consolidation,RENT,0
1e+05,9,debt_consolidation,MORTGAGE,1
126000,12,credit_card,MORTGAGE,0
129700,9,debt_consolidation,MORTGAGE,1
76000,11,debt_consolidation,MORTGAGE,1
75000,11,debt_consolidation,RENT,0
16425,12,credit_card,MORTGAGE,0
68000,13,debt_consolidation,RENT,0
37500,11,debt_consolidation,RENT,0
130000,11,debt_consolidation,OWN,0
104000,9,debt_consolidation,MORTGAGE,2
33000,6,debt_consolidation,OWN,0
55000,22,debt_consolidation,OWN,0
41000,25,credit_card,RENT,0
82000,5,credit_card,RENT,1
850000,12,debt_consolidation,MORTGAGE,1
160000,6,debt_consolidation,MORTGAGE,0
69000,9,debt_consolidation,MORTGAGE,0
50000,6,debt_consolidation,RENT,1
24000,4,credit_card,RENT,2
85000,13,debt_consolidation,MORTGAGE,3
37440,10,debt_consolidation,RENT,3
46500,7,credit_card,MORTGAGE,0
50000,11,debt_consolidation,RENT,0
76000,11,debt_consolidation,RENT,0
47000,9,debt_consolidation,MORTGAGE,3
50000,11,debt_consolidation,MORTGAGE,2
50000,9,debt_consolidation,MORTGAGE,0
220000,21,debt_consolidation,RENT,1
30000,16,debt_consolidation,OWN,0
89797,21,debt_consolidation,RENT,2
43000,3,debt_consolidation,RENT,0
135000,7,home_improvement,MORTGAGE,0
50000,15,debt_consolidation,MORTGAGE,0
53111,10,debt_consolidation,RENT,2
85000,5,debt_consolidation,MORTGAGE,1
20000,5,credit_card,RENT,0
94000,16,debt_consolidation,MORTGAGE,0
51000,5,car,RENT,1
26000,7,debt_consolidation,RENT,0
49000,8,debt_consolidation,MORTGAGE,1
75000,9,credit_card,RENT,0
42000,3,debt_consolidation,RENT,0
90000,5,medical,RENT,2
35000,7,credit_card,RENT,0
180000,23,debt_consolidation,MORTGAGE,0
50000,11,credit_card,RENT,0
152000,9,credit_card,OWN,2
60000,15,credit_card,MORTGAGE,0
37956,4,major_purchase,OWN,0
125000,19,debt_consolidation,MORTGAGE,0
45000,12,other,OWN,1
60240,7,other,RENT,0
24000,16,debt_consolidation,RENT,1
47000,24,credit_card,MORTGAGE,0
85000,18,debt_consolidation,MORTGAGE,0
101000,13,credit_card,MORTGAGE,2
70000,17,credit_card,RENT,0
86000,10,credit_card,OWN,1
110000,8,debt_consolidation,MORTGAGE,2
